#,P:N1,P:N2,净利润,年化收益率%,夏普比率
1*,3,5,25784637.44,120.31,1.2545
2,9,10,23973627.54,105.94,1.1326
3,2,10,23661714.15,110.40,1.0984
4,5,10,23334429.94,111.13,1.0972
5,11,12,23298085.22,107.34,1.0817
6,8,11,23101156.11,102.08,1.1103
7,2,12,22762151.16,106.20,1.1035
8,5,7,22611075.41,109.96,1.0545
9,4,9,22367554.85,108.78,1.0243
10,3,7,22336117.19,106.93,1.0040
11,3,4,22207555.44,103.62,1.1245
12,8,12,22088584.24,97.61,1.0516
13,4,8,22073014.58,105.40,1.0180
14,4,10,21880348.86,106.41,1.0084
15,5,9,21790591.01,103.78,1.0294
16,3,10,21567681.79,104.89,0.9881
17,16,17,21509035.38,98.85,1.1419
18,6,10,21448573.26,102.15,1.0114
19,2,11,21351738.04,99.62,1.0214
20,6,8,21294938.89,103.56,0.9474
21,3,9,21109195.02,102.66,0.9101
22,6,9,21037371.45,100.19,1.0220
23,2,4,20986200.59,105.70,1.0891
24,8,13,20817274.97,91.99,1.0192
25,7,8,20776059.45,101.04,0.9513
26,4,7,20253061.29,96.71,0.9258
27,2,9,20223060.80,94.36,0.9591
28,5,6,19972891.71,95.62,0.9326
29,7,13,19960173.61,88.20,0.9497
30,16,18,19797395.78,82.71,1.0559
31,5,8,19653412.98,95.58,0.9311
32,7,11,19593077.80,92.12,0.9440
33,8,10,19574870.19,86.50,0.9631
34,9,11,19518674.85,86.25,0.9884
35,7,21,19394554.27,87.17,0.9973
36,12,17,19385914.18,80.99,0.9251
37,11,13,19172487.08,88.33,0.8597
38,6,12,19170281.11,91.30,0.8950
39,3,6,19093125.10,91.40,0.8332
40,5,11,19040905.09,90.68,0.8996
41,9,13,19023721.82,87.65,0.9157
42,7,12,18986410.23,90.42,0.9090
43,6,11,18878547.91,89.91,0.8860
44,11,14,18731498.61,84.81,0.8753
45,15,16,18688564.54,86.98,0.9951
46,10,12,18556253.00,85.49,0.8981
47,9,20,18554263.53,86.79,0.9656
48,7,10,18524373.41,88.22,0.9081
49,4,11,18509419.03,90.02,0.8486
50,4,6,18439209.61,88.04,0.7797
51,11,17,18352656.93,76.68,0.8674
52,9,19,18348175.98,85.83,0.9144
53,5,12,18340278.16,87.35,0.8783
54,7,20,18294665.27,82.23,0.9322
55,3,8,18266928.09,88.84,0.8097
56,4,12,18259790.32,88.80,0.8648
57,2,5,18242727.30,91.88,0.8914
58,2,7,18233627.33,85.07,0.8631
59,5,28,18119548.45,80.85,0.9239
60,3,27,18081632.16,80.68,0.9220
61,6,14,18073123.38,80.64,0.8553
62,8,20,18035894.84,84.37,0.9262
63,5,27,18005571.65,80.34,0.9138
64,6,21,17973215.59,82.81,0.9198
65,8,9,17971791.84,85.59,0.8658
66,5,25,17966262.15,75.06,0.9036
67,9,12,17949251.69,82.70,0.8740
68,4,27,17871935.81,79.74,0.9081
69,2,6,17866305.59,83.36,0.8480
70,2,8,17836190.23,83.22,0.8233
71,7,22,17808676.93,80.04,0.9324
72,3,12,17756593.40,86.36,0.8300
73,6,24,17704342.25,76.76,0.9136
74,6,27,17647982.06,78.74,0.8993
75,2,13,17620132.20,82.21,0.8542
76,10,11,17613016.27,81.15,0.8785
77,10,13,17562154.04,80.91,0.8724
78,7,14,17554553.96,77.57,0.8163
79,3,28,17528520.32,78.21,0.8860
80,4,28,17486783.74,78.02,0.9037
81,2,20,17468841.17,72.98,0.9211
82,5,24,17376207.87,72.60,0.9020
83,7,15,17345338.12,79.92,0.7803
84,16,12,17342406.48,79.90,1.0615
85,3,14,17265618.92,82.66,0.7581
86,8,14,17247780.23,76.22,0.8314
87,17,18,17243804.45,72.04,0.9409
88,5,23,17240124.88,72.03,0.9194
89,12,16,17230429.62,71.99,0.8117
90,15,13,17214695.02,79.31,0.8545
91,2,3,17213372.43,95.31,0.9137
92,3,11,17159207.63,83.45,0.7669
93,2,15,17099932.85,80.60,0.8333
94,11,8,17071507.83,79.65,1.1493
95,8,21,17033451.56,79.68,0.8932
96,23,9,17001040.16,74.06,1.1677
97,14,16,16909217.88,70.65,0.8542
98,6,23,16877490.86,77.76,0.8606
99,6,26,16840780.00,73.02,0.8536
100,2,14,16735036.67,78.08,0.8317
