P:N1,P:N2,净利润,年化收益率%,夏普比率
2,5,15645227.68,197.08,1.4127
3,5,15164287.77,191.02,1.3721
9,10,15611695,185,1.4173
10,12,15893089.98,183.78,1.5314
8,12,17380518.31,181.18,1.5557
7,12,16963152.21,180.78,1.569
2,4,14639704.62,180.04,1.3812
7,13,16791125.57,178.94,1.4913
8,11,16896590.56,178.01,1.5429
11,12,15239915.1,176.22,1.4634
2,3,13259547.31,175.55,1.2951
9,13,14929848.68,172.64,1.4197
9,11,14470317.52,171.48,1.3653
10,11,14308988.35,170.81,1.4536
5,10,16067674.77,168.68,1.3952
7,14,14176425.99,168.37,1.3147
8,13,15603200.11,166.28,1.4263
4,10,14838406.7,165.97,1.2768
6,13,15727772.73,165.11,1.4114
9,12,15773428.53,164.43,1.5146
7,8,14667028.96,164.05,1.2896
7,15,15731449.23,162.84,1.4603
6,8,14542265.53,162.66,1.2488
6,14,15480766.29,162.52,1.393
6,12,15471963.47,162.43,1.3989
3,4,13462622.74,161.73,1.2759
7,17,13895369.19,160.68,1.2869
7,16,13866831.19,160.35,1.2862
2,10,14209196.89,158.93,1.1746
5,9,15127099.31,158.81,1.3277
6,9,15011996.44,157.6,1.3239
4,12,14088647.11,157.37,1.2694
3,9,12581596.66,157.16,1.0238
8,15,13516087.04,156.29,1.2832
8,14,13513719.15,156.26,1.2823
5,15,14776831.18,155.13,1.3089
2,11,13866047.23,155.09,1.1734
11,13,14787544.34,154.69,1.4007
5,6,12067278.05,154.25,1.02
9,14,13313277.57,153.95,1.2655
8,9,12751841.9,153.46,1.1093
5,12,14451931.75,153.35,1.3036
4,9,13639016.45,152.55,1.1839
10,13,14560788.07,152.32,1.384
3,10,13334636.02,152.26,1.1562
4,13,13612210.33,152.05,1.2146
3,7,11637048.52,151.77,0.8447
6,17,13123428.69,151.75,1.2301
8,10,12607252.25,151.72,1.1709
5,14,14420406.05,151.39,1.2785
6,16,13030157.59,150.67,1.224
4,11,13185816.27,150.56,1.1288
4,5,11419480.58,149.59,0.8004
4,14,14030378.91,149.41,1.2478
5,8,13320612.81,148.99,1.131
5,13,14016043.66,148.73,1.2604
3,12,13284237.21,148.39,1.168
6,15,12749484.65,147,1.2067
10,17,12250214.31,146.24,1.1872
7,11,13959898.22,145.52,1.2769
8,16,12520795.49,144.78,1.1888
2,9,12838410.93,144.34,1.0643
2,16,12814357.06,143.96,1.1573
2,12,13981036.58,143.56,1.1899
9,16,12409807.29,143.5,1.1827
2,15,13104140.11,142.74,1.1704
5,11,13578228.26,142.55,1.1954
8,17,12320997.43,142.47,1.1732
10,14,12299083.57,142.22,1.1814
9,15,12285994.36,142.07,1.1818
3,13,12590693.02,140.64,1.0895
10,15,12135373.18,140.33,1.1741
3,14,12541037.82,140.09,1.1008
6,11,13309793.84,139.73,1.1894
6,18,12030006.73,139.11,1.1512
2,17,12360302.27,138.85,1.1273
7,18,11373684.67,136.88,1.1046
13,12,12605597.03,136.55,1.138
3,15,12806408.64,136.48,1.1368
5,16,12977101.44,136.24,1.2152
10,16,11693133.79,135.21,1.1305
4,15,12642137.13,134.73,1.1277
11,14,12826710.92,134.18,1.2331
6,10,12761549.42,133.97,1.1327
12,13,11584624.9,133.96,1.142
2,14,11933720.52,133.3,1.0611
7,10,12395768.31,130.13,1.1476
12,14,12369154.1,129.39,1.2058
5,17,12611245.57,129.19,1.1949
3,11,11269224.12,128.67,0.9157
2,13,11510931.44,128.58,0.9824
3,16,11861110.13,126.4,1.0782
3,19,11506624.74,118.69,1.0747
5,27,11536449.2,118.18,1.1641
2,28,11741402.12,117.83,1.1557
5,18,11494192.56,117.75,1.1031
3,28,11473075.42,117.12,1.1481
4,27,11351307.63,116.28,1.1476
3,27,11282640.61,115.58,1.1354
7,21,11373687.57,114.14,1.131
